Filename,Label,Spectrogram_Path,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
New_AS_001.wav,AS,./Dataset/Spectrograms\AS\New_AS_001.png,-303.98373,89.607994,63.180206,49.628277,33.78957,13.866918,8.336157,-0.14585683,-4.576695,-6.5883245,-5.2276707,-3.1415155,-1.7342844
New_AS_002.wav,AS,./Dataset/Spectrograms\AS\New_AS_002.png,-290.78546,85.328964,63.678967,48.518387,27.950966,13.1481905,8.135881,3.857298,-5.930663,-6.5068417,-2.8475008,-3.5149305,-0.673932
New_AS_003.wav,AS,./Dataset/Spectrograms\AS\New_AS_003.png,-300.07132,92.19616,60.42823,46.0684,32.148647,14.97782,9.954712,1.7021106,-6.839214,-4.6044965,-3.469487,-2.924696,-1.6358224
New_AS_004.wav,AS,./Dataset/Spectrograms\AS\New_AS_004.png,-275.96182,82.97948,53.963867,41.477196,30.87904,18.746405,7.1517215,0.318052,-3.1199236,-5.7864532,-4.2385364,-3.9734943,-2.8120325
New_AS_005.wav,AS,./Dataset/Spectrograms\AS\New_AS_005.png,-307.56003,91.76187,61.234344,47.353916,32.499348,20.76695,4.061373,1.7606145,-6.5312767,-5.4922886,-5.2987895,-4.180423,-3.422098
New_AS_006.wav,AS,./Dataset/Spectrograms\AS\New_AS_006.png,-288.21115,84.76727,54.963642,46.981304,26.804432,20.474585,7.4006405,0.24915251,-5.545941,-2.3067157,-6.8025417,-1.8864027,-4.653549
New_AS_007.wav,AS,./Dataset/Spectrograms\AS\New_AS_007.png,-302.02563,89.78434,62.85407,48.775154,31.02536,15.469918,6.414605,2.0191967,-3.9979196,-7.1960154,-3.8490772,-3.4994335,-0.7091341
New_AS_008.wav,AS,./Dataset/Spectrograms\AS\New_AS_008.png,-298.3507,91.428314,62.684128,44.773228,31.234833,16.354698,5.7232246,3.8025227,-6.199824,-5.1140227,-3.5684175,-4.05435,-2.4503825
New_AS_009.wav,AS,./Dataset/Spectrograms\AS\New_AS_009.png,-309.55713,91.20851,67.023315,49.0597,31.322828,16.114777,5.9399214,2.5168579,-4.5845523,-8.803505,-3.6047604,-3.455352,0.33233765
New_AS_010.wav,AS,./Dataset/Spectrograms\AS\New_AS_010.png,-292.82944,89.372025,58.197605,45.37452,33.701492,16.37377,10.149504,-2.3533235,-3.0896914,-5.376425,-6.701669,-2.0645745,-3.1365297
New_AS_011.wav,AS,./Dataset/Spectrograms\AS\New_AS_011.png,-282.65585,86.10974,55.604813,44.58663,29.941858,21.572535,5.957825,0.31202856,-2.5520399,-6.179122,-4.8530188,-3.1762867,-2.0965943
New_AS_012.wav,AS,./Dataset/Spectrograms\AS\New_AS_012.png,-268.83707,84.101,52.2075,36.2828,28.083736,19.03162,4.2866592,3.1210382,-0.21963917,-7.3908334,-2.5140986,-4.0405283,-0.9870037
New_AS_013.wav,AS,./Dataset/Spectrograms\AS\New_AS_013.png,-313.7149,92.54037,63.36147,45.580925,33.468792,15.475596,4.3363323,6.607455,-7.852045,-7.023652,-3.1014295,-4.890644,-0.96373224
New_AS_014.wav,AS,./Dataset/Spectrograms\AS\New_AS_014.png,-296.06723,90.562256,63.181885,44.697586,28.906342,15.506743,7.677043,2.1710396,-4.5551815,-4.741713,-4.133817,-3.1493466,-2.3549507
New_AS_015.wav,AS,./Dataset/Spectrograms\AS\New_AS_015.png,-338.19223,100.30063,74.99657,54.954975,33.00241,16.60893,7.7902265,-4.79405,-7.7080355,-5.0973,-4.4365416,-2.2637646,-2.1056411
New_AS_016.wav,AS,./Dataset/Spectrograms\AS\New_AS_016.png,-311.8121,98.882805,72.68338,52.859608,33.89241,20.189959,5.371855,-3.4266493,-4.053533,-7.313185,-3.8384206,-1.5324361,-2.1147926
